# iteration	test v-021	training v-039	all input files
1000	0.544532130778	0.521990104453	0.524784113821
2000	0.102029312289	0.102528862012	0.10902727584
4000	0.0338218714769	0.0200659703134	0.0285692547647
6000	0.0310033821871	0.0192413413964	0.0234716780157
8000	0.0304396843292	0.0107201759208	0.0160535625975
10000	0.0186020293123	0.0043980208906	0.0114505268764
12000	0.0197294250282	0.00577240241891	0.0129721915776
14000	0.0174746335964	0.00522264980759	0.0119450679043
15000	0.0197294250282	0.00824628916987	0.0147221059839
17000	0.0180383314543	0.00357339197361	0.0112603187888
18000	0.0163472378805	0.00384826827927	0.00859740556168
